"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"DuPont","Chemours","$2,000,000","$0","$2,000,000","2009","20090420","environment-related offenses","environmental violation","","DuPont and Lucite International Inc. agreed to pay a $2 million civil penalty to settle Clean Air Act violations at a sulfuric acid plant in Belle, W. Virginia.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","West Virginia","Belle","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.justice.gov/opa/pr/dupont-and-lucite-international-agree-pay-2-million-clean-air-act-violations","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"DuPont","Chemours","$1,102,000","$0","$1,102,000","2003","20030731","environment-related offenses","environmental violation","","To resolve a Clean Air Act case involving a chemical release from its fluoroproducts plant in Louisville, DuPont agreed to pay a civil penalty of $550,000 and spend $552,000 on supplementary environmental projects.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Kentucky","Louisville","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.justice.gov/archive/opa/pr/2003/July/03_enrd_433.htm","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"DuPont","Chemours","$800,000","$0","$800,000","2013","20131028","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that E.I. du Pont de Nemours and Company agreed to settle alleged Clean Air Act violations at DuPont's Washington Works Facility, located in Washington, Wood County, West Virginia. ","federal","agency action","Environmental Protection Agency","civil","","","","","","West Virginia","Washington","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/d59089b7f194eef385257c120072261b.html","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"DuPont","Chemours","$531,000","$0","$531,000","2015","20150108","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that E.I. DuPont de Nemours and Company (DuPont), has been fined $531,000 for alleged Clean Air Act violations at its chemical manufacturing plant in Deepwater, New Jersey. The EPA fined DuPont for improper maintenance and repair of two large refrigeration units. When properly maintained, the systems are designed to minimize chlorofluorocarbons (CFCs) from leaking into the environment. CFCs damage the ozone layer, which shields the earth from harmful radiation that contributes to increased skin cancer. The company also failed to accurately submit reports to EPA under the Emergency Planning and Community Right-to-Know Act.","federal","agency action","Environmental Protection Agency","civil","","","","","","New Jersey","Deepwater","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://archive.epa.gov/epa/newsreleases/dupont-fined-air-pollution-deepwater-new-jersey.html","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"E.I. du Pont de Nemours & Co.","Chemours","$724,000","$0","$724,000","2015","20151001","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that E.I. du Pont de Nemours & Co. (DuPont) has agreed to pay a fine of $724,000 in settlement of Clean Air Act violations relating to a fire and explosion at its chemical plant in Tonawanda, N.Y.","federal","agency action","Environmental Protection Agency","civil","","","","","","New York","Tonawanda","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://archive.epa.gov/epa/newsreleases/epa-and-dupont-reach-major-settlement-after-fatal-chemical-explosion-tonawanda-ny.html","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"E.I. du Pont de Nemours & Co.","Chemours","$440,000","$0","$440,000","2014","20140722","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency announced that a legal agreement with E.I. du Pont de Nemours & Co. (DuPont) has been approved by the District Court for the Western District of New York. Under the agreement, DuPont will comply with air pollution control measures required by the Clean Air Act, and the Emergency Planning and Community Right-to-Know Act at its DuPont Yerkes chemical manufacturing facility in Tonawanda, New York. The Clean Air Act requires that large industrial facilities that emit hazardous air pollutants report emissions and have effective pollution controls. Hazardous air pollutants may cause serious health effects, such as respiratory effects, birth defects and cancer.","federal","agency action","Environmental Protection Agency","civil","","","","","","New York","Tonawanda","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/ddb046c309cbd02085257d1d00535bd5.html","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"E.I. du Pont de Nemours and Company","Chemours","$1,275,000","$0","$1,275,000","2014","20140827","environment-related offenses","environmental violation","","The Department of Justice and U.S. Environmental Protection Agency (EPA) announced a settlement with E.I. du Pont de Nemours and Company (DuPont) at its Belle, W. Va. facility for eight alleged releases of harmful levels of hazardous substances between May 2006 and January 2010. Several of the releases posed significant risk to people or the Kanawha River. One DuPont worker died after exposure to phosgene, a toxic gas released due to DuPont's failure to comply with industry accident prevention procedures. DuPont was required to pay a $1.275 million penalty and take corrective actions to prevent future releases to resolve the alleged violations of the general duty clause and risk management provisions of the Clean Air Act, and the emergency response provisions of Section 103 of the Comprehensive Environmental Response, Compensation and Liability Act, and Section 304 of the Emergency Planning and Community Right-to-Know Act.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","West Virginia","Belle","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","http://www.justice.gov/opa/pr/us-settles-dupont-resolve-clean-air-act-violations-and-protect-communities-and-kanawha-river","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"E.I. DuPont de Nemours, Inc","Chemours","$250,000","$0","$250,000","2011","20111216","environment-related offenses","environmental violation","","In settlement papers filed in federal court by the U.S. Department of Justice, E.I. DuPont de Nemours, Inc. (DuPont) agreed to pay a $250,000 civil penalty to settle alleged violations of hazardous waste regulations at the company's wastewater treatment facility in Deepwater, N.J., the U.S. Environmental Protection Agency announced. DuPont also agreed to several improvements to its New Jersey facilitys hazardous waste safeguards.","federal","agency action","Environmental Protection Agency","civil","","","","","","New Jersey","Deepwater","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/f1b8c88f8ca6b4c485257968006cbbf8.html","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"DuPont","Chemours","$16,500,000","$0","$16,500,000","2005","20051214","environment-related offenses","environmental violation",""," DuPont agreed to pay a civil penalty of $10.25 million and spend $6.25 million for Supplemental Environmental Projects (SEPs) to settle violations related to the production of synthetic chemical Perfluorooctanoic Acid (PFOA) under provisions of both the Toxic Substances Control Act (TSCA) and the Resource Conservation and Recovery Act (RCRA). ","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://web.archive.org/web/20160508200619/https://yosemite.epa.gov/opa/admpress.nsf/68b5f2d54f3eefd28525701500517fbf/fdcb2f665cac66bb852570d7005d6665!opendocument","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"DuPont","Chemours","$2,550,000","$0","$2,550,000","2005","20050502","environment-related offenses","environmental violation","","As part of a Clean Air Act settlement concerning its plant in New Johnsonville, Tennessee, DuPont will spend $1.1 million to retrofit equipment to reduce use of ozone-depleting refrigerants, pay $250,000 in civil penalties, and perform a Supplemental Environmental Project valued at $1.2 million.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Tennessee","New Johnsonville","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.justice.gov/archive/opa/pr/2005/May/05_enrd_235.htm","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"First Chemical Corp.","Chemours","$731,000","$0","$731,000","2009","20090820","environment-related offenses","environmental violation","","Two manufacturing companies, in separate settlements, agreed to pay civil penalties and take corrective measures to settle Clean Air Act violations resulting from explosions at two plants in 2002 and 2003 in Louisville, Ky., and Pascagoula, Miss.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.justice.gov/opa/pr/two-manufacturers-agree-settle-clean-air-act-claims-resulting-explosions-plants-kentucky-and",""
"E.I. Du Pont de Nemours and Company","Chemours","$3,100,000","$0","$3,100,000","2018","20180726","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Texas","LaPorte","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.epa.gov/newsreleases/epa-and-justice-department-reach-31-million-settlement-dupont-alleged-chemical-accident","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"E.I. DUPONT DE NEMOURS & COMPANY - BELLE PLANT","Chemours","$43,000","$0","$43,000","2010","20100125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","BELLE","901 WEST DUPONT AVE","25015","325199","325199: All Other Basic Organic Chemical Manufacturing","USA","Delaware","publicly traded","CC","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"E.I. DU PONT DE NEMOURS AND COMPANY","Chemours","$9,000","$0","$9,000","2004","20041027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","WURTLAND","HC 66 400 HARRIS RD","41144","211112","211112: Natural Gas Liquid Extraction","USA","Delaware","publicly traded","CC","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","This facility is one of those transferred from DuPont to its Chemours spinoff in 2015."
"FIRST CHEMICAL CORPORATION","Chemours","$15,300","$0","$15,300","2002","20021016","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","PASCAGOULA","1001 INDUSTRIAL ROAD","39581","325199","325199: All Other Basic Organic Chemical Manufacturing","USA","Delaware","publicly traded","CC","chemicals","chemicals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"The Chemours Company, FC LLC","Chemours","$8,400","$0","$8,400","2016","20161031","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZFCC 2016-1(HMT)","","","","","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"Chemours Co. FC, LLC","Chemours","$5,750","$0","$5,750","2017","20170515","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZCFC 2016-2(HMT)","","","","","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"Chemours Co. FC, LLC","Chemours","$7,600","$0","$7,600","2017","20170515","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZCFC 2016-3(HMT)","","","","","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/17839",""
"The Chemours Company","Chemours","$5,620","$0","$5,620","2016","20161110","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1793325","","","North Carolina","Saint Pauls","2288 NC Hwy 87 West","28384","32599","32599: All Other Chemical Product and Preparation Manufacturing","USA","Delaware","publicly traded","CC","chemicals","chemicals","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Chemours Company FC, LLC","Chemours","$39,000","$0","$39,000","2017","20171125","environment-related offenses","environmental violation","","land resources violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2017-11-25_Notice_of_Enforcement_Actions.pdf",""
"Chemours Company FC, LLC","Chemours","$63,077","$0","$63,077","2018","20180910","environment-related offenses","environmental violation","","","state","agency action","Delaware Department of Natural Resources and Environmental Control","civil","","","","","","Delaware","Newark","","","","","USA","Delaware","publicly traded","CC","chemicals","chemicals","http://www.dnrec.delaware.gov/Info/Documents/Secretarys-Order-2018-WH-0012.pdf",""
