"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Gerdau Ameristeel Sayreville","Gerdau","$5,000","$0","$5,000","2014","20140117","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Brazil","","publicly traded","","metals","steel","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"GERDAU AMERISTEEL","Gerdau","$6,375","$0","$6,375","2009","20090226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","JOLIET","ONE INDUSTRY AVENUE","60435","331111","331111: Iron and Steel Mills","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU MACSTEEL JACKSON","Gerdau","$28,732","$0","$28,732","2010","20101203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","JACKSON","3100 BROOKLYN RD","49203","331111","331111: Iron and Steel Mills","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU AMERISTEEL US INC.","Gerdau","$5,000","$0","$5,000","2008","20080331","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","ELDRIDGE","151 N 16TH AVENUE","52748","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU AMERISTEEL","Gerdau","$5,600","$0","$5,600","2006","20060810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","ST PAUL","1678 RED ROCK ROAD","55164","331111","331111: Iron and Steel Mills","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU AMERISTEEL","Gerdau","$5,800","$0","$5,800","2006","20060810","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","ST PAUL","1678 RED ROCK ROAD","55164","331111","331111: Iron and Steel Mills","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU AMERISTEEL","Gerdau","$5,600","$0","$5,600","2005","20050914","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","ST. PAUL","1678 RED ROCK ROAD","55119","423930","423930: Recyclable Material Merchant Wholesalers","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU MACSTEEL JACKSON","Gerdau","$33,210","$0","$33,210","2008","20081208","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","JACKSON","3100 BROOKLYN RD","49203","331221","331221: Rolled Steel Shape Manufacturing","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU AMERISTEEL","Gerdau","$5,670","$0","$5,670","2004","20040203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","PLANT CITY","4006 PAUL BUCHMAN HIGHWAY","33565","332312","332312: Fabricated Structural Metal Manufacturing","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GERDAU AMERISTEEL US, INC.","Gerdau","$5,000","$0","$5,000","2004","20040120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","BALDWIN","16770 REBAR ROAD","32234","332312","332312: Fabricated Structural Metal Manufacturing","Brazil","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
