"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Eastman Chemical Co.","Eastman Chemical","$7,500","$0","$7,500","2002","20021220","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Eastman Chemical Co.","Eastman Chemical","$6,500","$0","$6,500","2008","20080102","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Eastman Chemical Co.","Eastman Chemical","$5,625","$0","$5,625","2008","20080102","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$10,500","$0","$10,500","2009","20090309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$10,000","$0","$10,000","2009","20090309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$6,000","$0","$6,000","2009","20090309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$5,500","$0","$5,500","2009","20090309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$7,500","$0","$7,500","2015","20151020","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$7,500","$0","$7,500","2014","20140218","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$7,400","$0","$7,400","2012","20120109","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$7,300","$0","$7,300","2014","20140218","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$7,200","$0","$7,200","2011","20110309","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"EASTMAN CHEMICAL COMPANY","Eastman Chemical","$7,000","$0","$7,000","2015","20150421","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Eastman Chemical Texas City Inc.","Eastman Chemical","$5,000","$0","$5,000","2005","20050928","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","EMN","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
